asset,commission_year,investment_cost,investment_limit
AT_Battery,2050,,0.608
AT_E_Balance,2050,,
AT_E_Demand,2050,,
AT_E_ENS,2050,,37.8805544
AT_Gas,2050,95000.00000000000,6.52
AT_H_Demand,2050,,
AT_Hydro,2050,,16.274
AT_Hydro_Reservoir,2050,,4.978
AT_Pump_Hydro_Closed,2050,,0.6
AT_Pump_Hydro_Open,2050,,11.586
AT_Solar,2050,34342.98027538492,106.258
AT_Wind_Onshore,2050,77356.32865703155,82.29
AT_electrolyzer,2050,,11.461187214
BE_Battery,2050,,2.26
BE_E_Balance,2050,,
BE_E_Demand,2050,,
BE_E_ENS,2050,,47.16584812
BE_Gas,2050,95000.00000000000,17.736
BE_H_Demand,2050,,
BE_Hydro,2050,,0.33
BE_OCGT,2050,55000.00000000000,0.488
BE_Solar,2050,34342.98027538492,110.0
BE_Wind_Offshore,2050,119732.61777406993,21.92
BE_Wind_Onshore,2050,77356.32865703155,20.0
BE_electrolyzer,2050,,22.23744292
BG_Battery,2050,,9.846
BG_Coal,2050,420000.00000000000,2.008
BG_E_Balance,2050,,
BG_E_Demand,2050,,
BG_E_ENS,2050,,13.5848578
BG_Gas,2050,95000.00000000000,4.63
BG_H_Demand,2050,,
BG_Hydro,2050,,3.634
BG_Hydro_Reservoir,2050,,2.562
BG_Nuclear,2050,950000.00000000000,4.0
BG_OCGT,2050,55000.00000000000,0.04
BG_Pump_Hydro_Closed,2050,,1.728
BG_Pump_Hydro_Open,2050,,1.07
BG_Solar,2050,34342.98027538492,18.22
BG_Wind_Onshore,2050,77356.32865703155,18.0
BG_electrolyzer,2050,,3.03652968
CH_Battery,2050,,10.1
CH_E_Balance,2050,,
CH_E_Demand,2050,,
CH_E_ENS,2050,,25.47017712
CH_H_Demand,2050,,
CH_Hydro,2050,,27.55
CH_Nuclear,2050,950000.00000000000,0.0
CH_Pump_Hydro_Closed,2050,,4.34
CH_Pump_Hydro_Open,2050,,21.464
CH_Solar,2050,34342.98027538492,26.624
CH_Wind_Onshore,2050,77356.32865703155,4.446
CH_electrolyzer,2050,,7.641053136
CY_Battery,2050,,6.152
CY_E_Balance,2050,,
CY_E_Demand,2050,,
CY_E_ENS,2050,,2.538906
CY_Gas,2050,95000.00000000000,1.048
CY_H_Demand,2050,,
CY_Solar,2050,34342.98027538492,4.546
CY_Wind_Onshore,2050,77356.32865703155,0.8
CY_electrolyzer,2050,,0.570776256
CZ_Battery,2050,,7.22
CZ_Coal,2050,420000.00000000000,0.0
CZ_E_Balance,2050,,
CZ_E_Demand,2050,,
CZ_E_ENS,2050,,24.7103232
CZ_Gas,2050,95000.00000000000,5.226
CZ_H_Demand,2050,,
CZ_Hydro,2050,,1.906
CZ_Hydro_Reservoir,2050,,1.396
CZ_Nuclear,2050,950000.00000000000,13.966
CZ_Pump_Hydro_Closed,2050,,1.376
CZ_Pump_Hydro_Open,2050,,0.94
CZ_Solar,2050,34342.98027538492,44.97
CZ_Wind_Onshore,2050,77356.32865703155,8.972
CZ_electrolyzer,2050,,9.406392694
DE_Battery,2050,,222.194
DE_Coal,2050,420000.00000000000,0.0
DE_E_Balance,2050,,
DE_E_Demand,2050,,
DE_E_ENS,2050,,238.1671656
DE_Gas,2050,95000.00000000000,67.164
DE_H_Demand,2050,,
DE_Hydro,2050,,9.506
DE_Hydro_Reservoir,2050,,2.594
DE_OCGT,2050,55000.00000000000,0.0
DE_Pump_Hydro_Closed,2050,,14.764
DE_Pump_Hydro_Open,2050,,3.288
DE_Solar,2050,34342.98027538492,912.778
DE_Wind_Offshore,2050,119732.61777406993,141.17
DE_Wind_Onshore,2050,77356.32865703155,383.0
DE_electrolyzer,2050,,136.68949772
DK_Battery,2050,,3.7
DK_E_Balance,2050,,
DK_E_Demand,2050,,
DK_E_ENS,2050,,11.7893066
DK_Gas,2050,95000.00000000000,0.02
DK_H_Demand,2050,,
DK_OCGT,2050,55000.00000000000,1.224
DK_Solar,2050,34342.98027538492,48.892
DK_Wind_Offshore,2050,119732.61777406993,88.382
DK_Wind_Onshore,2050,77356.32865703155,22.786
DK_electrolyzer,2050,,4.611872146
EE_E_Balance,2050,,
EE_E_Demand,2050,,
EE_E_ENS,2050,,4.9873152
EE_H_Demand,2050,,
EE_Solar,2050,34342.98027538492,7.04
EE_Wind_Offshore,2050,119732.61777406993,13.998
EE_Wind_Onshore,2050,77356.32865703155,1.722
EE_electrolyzer,2050,,0.388127854
ES_Battery,2050,,64.0
ES_E_Balance,2050,,
ES_E_Demand,2050,,
ES_E_ENS,2050,,95.69817984
ES_Gas,2050,95000.00000000000,29.84
ES_H_Demand,2050,,
ES_Hydro,2050,,29.678
ES_Hydro_Reservoir,2050,,21.944
ES_Nuclear,2050,950000.00000000000,0.0
ES_Pump_Hydro_Closed,2050,,13.732
ES_Pump_Hydro_Open,2050,,5.366
ES_Solar,2050,34342.98027538492,296.594
ES_Wind_Offshore,2050,119732.61777406993,11.422
ES_Wind_Onshore,2050,77356.32865703155,199.098
ES_electrolyzer,2050,,41.94063926
EU_SMR_CCS,2050,,2000.0
FI_Battery,2050,,11.774
FI_E_Balance,2050,,
FI_E_Demand,2050,,
FI_E_ENS,2050,,40.4000636
FI_Gas,2050,95000.00000000000,0.468
FI_H_Demand,2050,,
FI_Hydro_Reservoir,2050,,6.474
FI_Nuclear,2050,950000.00000000000,20.0
FI_OCGT,2050,55000.00000000000,0.174
FI_Solar,2050,34342.98027538492,95.534
FI_Wind_Offshore,2050,119732.61777406993,24.0
FI_Wind_Onshore,2050,77356.32865703155,175.818
FI_electrolyzer,2050,,10.821917808
FR_Battery,2050,,48.922
FR_E_Balance,2050,,
FR_E_Demand,2050,,
FR_E_ENS,2050,,184.32
FR_Gas,2050,95000.00000000000,21.678
FR_H_Demand,2050,,
FR_Hydro,2050,,46.894
FR_Hydro_Reservoir,2050,,17.57
FR_Nuclear,2050,950000.00000000000,100.278
FR_OCGT,2050,55000.00000000000,0.0
FR_Pump_Hydro_Closed,2050,,3.9
FR_Pump_Hydro_Open,2050,,3.7
FR_Solar,2050,34342.98027538492,387.188
FR_Wind_Offshore,2050,119732.61777406993,87.14
FR_Wind_Onshore,2050,77356.32865703155,160.0
FR_electrolyzer,2050,,13.607305936
GR_Battery,2050,,66.096
GR_E_Balance,2050,,
GR_E_Demand,2050,,
GR_E_ENS,2050,,28.6621016
GR_Gas,2050,95000.00000000000,10.074
GR_H_Demand,2050,,
GR_Hydro,2050,,7.044
GR_Hydro_Reservoir,2050,,5.488
GR_OCGT,2050,55000.00000000000,0.0
GR_Pump_Hydro_Closed,2050,,1.36
GR_Pump_Hydro_Open,2050,,1.398
GR_Solar,2050,34342.98027538492,93.0
GR_Wind_Offshore,2050,119732.61777406993,35.0
GR_Wind_Onshore,2050,77356.32865703155,55.0
GR_electrolyzer,2050,,13.150684932
HR_Battery,2050,,0.73
HR_Coal,2050,420000.00000000000,0.0
HR_E_Balance,2050,,
HR_E_Demand,2050,,
HR_E_ENS,2050,,7.3905362
HR_Gas,2050,95000.00000000000,0.0
HR_H_Demand,2050,,
HR_Hydro,2050,,4.022
HR_Hydro_Reservoir,2050,,3.882
HR_Pump_Hydro_Open,2050,,0.562
HR_Solar,2050,34342.98027538492,6.376
HR_Wind_Offshore,2050,119732.61777406993,5.792
HR_Wind_Onshore,2050,77356.32865703155,6.0
HR_electrolyzer,2050,,1.849315068
HU_Battery,2050,,1.908
HU_E_Balance,2050,,
HU_E_Demand,2050,,
HU_E_ENS,2050,,24.2696596
HU_Gas,2050,95000.00000000000,6.14
HU_H_Demand,2050,,
HU_Hydro,2050,,0.128
HU_Nuclear,2050,950000.00000000000,4.72
HU_OCGT,2050,55000.00000000000,0.308
HU_Solar,2050,34342.98027538492,46.792
HU_Wind_Onshore,2050,77356.32865703155,6.0
HU_electrolyzer,2050,,8.424657534
IE_Battery,2050,,104.412
IE_E_Balance,2050,,
IE_E_Demand,2050,,
IE_E_ENS,2050,,20.344176
IE_Gas,2050,95000.00000000000,15.866
IE_H_Demand,2050,,
IE_Hydro,2050,,0.43
IE_OCGT,2050,55000.00000000000,0.232
IE_Pump_Hydro_Closed,2050,,0.584
IE_Solar,2050,34342.98027538492,24.226
IE_Wind_Offshore,2050,119732.61777406993,42.114
IE_Wind_Onshore,2050,77356.32865703155,22.616
IE_electrolyzer,2050,,5.410958904
IT_Battery,2050,,285.562
IT_E_Balance,2050,,
IT_E_Demand,2050,,
IT_E_ENS,2050,,142.2730364
IT_Gas,2050,95000.00000000000,83.82
IT_H_Demand,2050,,
IT_Hydro,2050,,31.692
IT_Hydro_Reservoir,2050,,19.152
IT_OCGT,2050,55000.00000000000,8.64
IT_Pump_Hydro_Closed,2050,,12.4
IT_Pump_Hydro_Open,2050,,6.508
IT_Solar,2050,34342.98027538492,472.268
IT_Wind_Offshore,2050,119732.61777406993,37.0
IT_Wind_Onshore,2050,77356.32865703155,76.42
IT_electrolyzer,2050,,33.33333334
LT_Battery,2050,,7.316
LT_E_Balance,2050,,
LT_E_Demand,2050,,
LT_E_ENS,2050,,5.701201
LT_Gas,2050,95000.00000000000,0.586
LT_H_Demand,2050,,
LT_Hydro,2050,,0.252
LT_Pump_Hydro_Closed,2050,,1.86
LT_Solar,2050,34342.98027538492,15.152
LT_Wind_Offshore,2050,119732.61777406993,15.2
LT_Wind_Onshore,2050,77356.32865703155,11.3
LT_electrolyzer,2050,,4.132420092
LU_E_Balance,2050,,
LU_E_Demand,2050,,
LU_E_ENS,2050,,4.50234816
LU_H_Demand,2050,,
LU_Hydro,2050,,0.086
LU_Pump_Hydro_Closed,2050,,2.62
LU_Solar,2050,34342.98027538492,4.38
LU_Wind_Onshore,2050,77356.32865703155,1.2
LU_electrolyzer,2050,,1.02739726
LV_Battery,2050,,0.298
LV_E_Balance,2050,,
LV_E_Demand,2050,,
LV_E_ENS,2050,,4.2258302
LV_Gas,2050,95000.00000000000,0.146
LV_H_Demand,2050,,
LV_Hydro,2050,,0.0
LV_Solar,2050,34342.98027538492,1.21
LV_Wind_Offshore,2050,119732.61777406993,15.0
LV_Wind_Onshore,2050,77356.32865703155,0.704
LV_electrolyzer,2050,,0.616438356
MT_E_Balance,2050,,
MT_E_Demand,2050,,
MT_E_ENS,2050,,1.2473568
MT_Gas,2050,95000.00000000000,0.9
MT_H_Demand,2050,,
MT_Solar,2050,34342.98027538492,0.748
MT_electrolyzer,2050,,0.136986302
NL_Battery,2050,,104.588
NL_E_Balance,2050,,
NL_E_Demand,2050,,
NL_E_ENS,2050,,67.551757
NL_Gas,2050,95000.00000000000,30.5
NL_H_Demand,2050,,
NL_OCGT,2050,55000.00000000000,0.0
NL_Solar,2050,34342.98027538492,199.968
NL_Wind_Offshore,2050,119732.61777406993,99.306
NL_Wind_Onshore,2050,77356.32865703155,40.0
NL_electrolyzer,2050,,32.00913242
NO_E_Balance,2050,,
NO_E_Demand,2050,,
NO_E_ENS,2050,,60.2193011
NO_H_Demand,2050,,
NO_Hydro_Reservoir,2050,,61.456
NO_Pump_Hydro_Open,2050,,1.52
NO_Solar,2050,34342.98027538492,23.88
NO_Wind_Offshore,2050,119732.61777406993,19.894
NO_Wind_Onshore,2050,77356.32865703155,13.848
NO_electrolyzer,2050,,18.06579033
OBZLL_E_Balance,2050,,
OBZLL_E_Demand,2050,,
OBZLL_H_Demand,2050,,
OBZLL_Wind_Offshore,2050,119732.61777406993,4.0
OBZLL_electrolyzer,2050,,0.0
PL_Coal,2050,420000.00000000000,4.992
PL_E_Balance,2050,,
PL_E_Demand,2050,,
PL_E_ENS,2050,,67.29353068
PL_Gas,2050,95000.00000000000,16.446
PL_H_Demand,2050,,
PL_Hydro,2050,,1.588
PL_Hydro_Reservoir,2050,,0.544
PL_Pump_Hydro_Closed,2050,,2.646
PL_Pump_Hydro_Open,2050,,0.432
PL_Solar,2050,34342.98027538492,108.606
PL_Wind_Offshore,2050,119732.61777406993,21.8
PL_Wind_Onshore,2050,77356.32865703155,124.0
PL_electrolyzer,2050,,29.88584474
PT_Battery,2050,,6.588
PT_E_Balance,2050,,
PT_E_Demand,2050,,
PT_E_ENS,2050,,37.82134938
PT_Gas,2050,95000.00000000000,0.0
PT_H_Demand,2050,,
PT_Hydro,2050,,8.542
PT_Hydro_Reservoir,2050,,7.532
PT_Pump_Hydro_Open,2050,,7.664
PT_Solar,2050,34342.98027538492,58.0
PT_Wind_Offshore,2050,119732.61777406993,19.956
PT_Wind_Onshore,2050,77356.32865703155,26.0
PT_electrolyzer,2050,,7.03196347
RO_Battery,2050,,2.692
RO_Coal,2050,420000.00000000000,0.0
RO_E_Balance,2050,,
RO_E_Demand,2050,,
RO_E_ENS,2050,,28.5382896
RO_Gas,2050,95000.00000000000,11.68
RO_H_Demand,2050,,
RO_Hydro,2050,,11.916
RO_Hydro_Reservoir,2050,,5.158
RO_Nuclear,2050,950000.00000000000,6.174
RO_OCGT,2050,55000.00000000000,0.334
RO_Pump_Hydro_Open,2050,,1.678
RO_Solar,2050,34342.98027538492,68.388
RO_Wind_Offshore,2050,119732.61777406993,2.0
RO_Wind_Onshore,2050,77356.32865703155,18.0
RO_electrolyzer,2050,,9.794520548
SE_Battery,2050,,1.086
SE_E_Balance,2050,,
SE_E_Demand,2050,,
SE_E_ENS,2050,,61.0007826
SE_Gas,2050,95000.00000000000,0.0
SE_H_Demand,2050,,
SE_Hydro_Reservoir,2050,,32.894
SE_Nuclear,2050,950000.00000000000,23.2
SE_OCGT,2050,55000.00000000000,0.194
SE_Solar,2050,34342.98027538492,93.0
SE_Wind_Offshore,2050,119732.61777406993,29.2
SE_Wind_Onshore,2050,77356.32865703155,98.2
SE_electrolyzer,2050,,17.328767124
SI_Battery,2050,,0.13
SI_Coal,2050,420000.00000000000,1.15
SI_E_Balance,2050,,
SI_E_Demand,2050,,
SI_E_ENS,2050,,6.2879712
SI_Gas,2050,95000.00000000000,4.564
SI_H_Demand,2050,,
SI_Hydro,2050,,0.624
SI_Nuclear,2050,950000.00000000000,2.2
SI_OCGT,2050,55000.00000000000,2.252
SI_Pump_Hydro_Closed,2050,,0.36
SI_Solar,2050,34342.98027538492,71.896
SI_Wind_Offshore,2050,119732.61777406993,6.4
SI_Wind_Onshore,2050,77356.32865703155,15.108
SI_electrolyzer,2050,,1.301369864
SK_Battery,2050,,4.924
SK_Coal,2050,420000.00000000000,0.502
SK_E_Balance,2050,,
SK_E_Demand,2050,,
SK_E_ENS,2050,,12.7169736
SK_Gas,2050,95000.00000000000,2.682
SK_H_Demand,2050,,
SK_Hydro,2050,,2.892
SK_Hydro_Reservoir,2050,,0.042
SK_Nuclear,2050,950000.00000000000,6.192
SK_Pump_Hydro_Closed,2050,,1.3
SK_Pump_Hydro_Open,2050,,0.552
SK_Solar,2050,34342.98027538492,10.0
SK_Wind_Onshore,2050,77356.32865703155,4.0
SK_electrolyzer,2050,,5.433789954
UK_Battery,2050,,25.864
UK_E_Balance,2050,,
UK_E_Demand,2050,,
UK_E_ENS,2050,,237.2604948
UK_Gas,2050,95000.00000000000,19.01
UK_H_Demand,2050,,
UK_Hydro,2050,,5.026
UK_Nuclear,2050,950000.00000000000,32.0
UK_OCGT,2050,55000.00000000000,2.486
UK_Pump_Hydro_Closed,2050,,5.488
UK_Solar,2050,34342.98027538492,127.43
UK_Wind_Offshore,2050,119732.61777406993,220.916
UK_Wind_Onshore,2050,77356.32865703155,107.836
UK_electrolyzer,2050,,71.17814844
