id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,AT_Gas,2050,false,3.26,6.52,0.7922475772586337
2,AT_Solar,2050,false,53.129,106.258,0.5331458041483099
3,AT_Wind_Onshore,2050,false,41.145,82.29,0.9982922279394942
4,BE_Gas,2050,false,8.868,17.736,0.5164083151040143
5,BE_OCGT,2050,false,0.244,0.488,2.0
6,BE_Solar,2050,false,55.0,110.0,0.5922646013192788
7,BE_Wind_Offshore,2050,false,10.96,21.92,0.5370043629507851
8,BE_Wind_Onshore,2050,false,10.0,20.0,2.0
9,BG_Coal,2050,false,1.004,2.008,0.0
10,BG_Gas,2050,false,2.315,4.63,0.0
11,BG_Nuclear,2050,false,2.0,4.0,0.0
12,BG_OCGT,2050,false,0.02,0.04,0.0
13,BG_Solar,2050,false,9.11,18.22,1.7029478583044013
14,BG_Wind_Onshore,2050,false,9.0,18.0,0.8448973029429054
15,CH_Nuclear,2050,false,0.0,0.0,0.0
16,CH_Solar,2050,false,13.312,26.624,2.0
17,CH_Wind_Onshore,2050,false,2.223,4.446,0.0
18,CY_Gas,2050,false,0.524,1.048,0.0
19,CY_Solar,2050,false,2.273,4.546,1.9796551422320423
20,CY_Wind_Onshore,2050,false,0.4,0.8,0.2506119321811346
21,CZ_Coal,2050,false,0.0,0.0,0.0
22,CZ_Gas,2050,false,2.613,5.226,0.0
23,CZ_Nuclear,2050,false,6.983,13.966,0.0
24,CZ_Solar,2050,false,22.485,44.97,1.1670003590318498
25,CZ_Wind_Onshore,2050,false,4.486,8.972,2.0
26,DE_Coal,2050,false,0.0,0.0,0.0
27,DE_Gas,2050,false,33.582,67.164,0.2824705041250385
28,DE_OCGT,2050,false,0.0,0.0,0.0
29,DE_Solar,2050,false,456.389,912.778,0.6161525869600573
30,DE_Wind_Offshore,2050,false,70.585,141.17,0.48488887804583475
31,DE_Wind_Onshore,2050,false,191.5,383.0,1.0479469673729693
32,DK_Gas,2050,false,0.01,0.02,2.0
33,DK_OCGT,2050,false,0.612,1.224,2.0
34,DK_Solar,2050,false,24.446,48.892,0.36221214020040343
35,DK_Wind_Offshore,2050,false,44.191,88.382,0.0
36,DK_Wind_Onshore,2050,false,11.393,22.786,1.5922613609170126
37,EE_Solar,2050,false,3.52,7.04,0.5351846874721179
38,EE_Wind_Offshore,2050,false,6.999,13.998,0.0
39,EE_Wind_Onshore,2050,false,0.861,1.722,1.7289152188323695
40,ES_Gas,2050,false,14.92,29.84,0.0
41,ES_Nuclear,2050,false,0.0,0.0,0.0
42,ES_Solar,2050,false,148.297,296.594,1.0561235281248333
43,ES_Wind_Offshore,2050,false,5.711,11.422,2.0
44,ES_Wind_Onshore,2050,false,99.549,199.098,0.5574322935427398
45,FI_Gas,2050,false,0.234,0.468,2.0
46,FI_Nuclear,2050,false,10.0,20.0,0.0
47,FI_OCGT,2050,false,0.087,0.174,2.0
48,FI_Solar,2050,false,47.767,95.534,0.0
49,FI_Wind_Offshore,2050,false,12.0,24.0,0.0
50,FI_Wind_Onshore,2050,false,87.909,175.818,0.2615489800236677
51,FR_Gas,2050,false,10.839,21.678,1.1481125450414378
52,FR_Nuclear,2050,false,50.139,100.278,0.0
53,FR_OCGT,2050,false,0.0,0.0,0.0
54,FR_Solar,2050,false,193.594,387.188,0.4018179253258855
55,FR_Wind_Offshore,2050,false,43.57,87.14,0.0
56,FR_Wind_Onshore,2050,false,80.0,160.0,1.733240857490446
57,GR_Gas,2050,false,5.037,10.074,0.0
58,GR_OCGT,2050,false,0.0,0.0,0.0
59,GR_Solar,2050,false,46.5,93.0,1.2153248372493353
60,GR_Wind_Offshore,2050,false,17.5,35.0,0.008590953348717187
61,GR_Wind_Onshore,2050,false,27.5,55.0,0.5232443625434844
62,HR_Coal,2050,false,0.0,0.0,0.0
63,HR_Gas,2050,false,0.0,0.0,0.0
64,HR_Solar,2050,false,3.188,6.376,2.0
65,HR_Wind_Offshore,2050,false,2.896,5.792,0.0
66,HR_Wind_Onshore,2050,false,3.0,6.0,2.0
67,HU_Gas,2050,false,3.07,6.14,0.0
68,HU_Nuclear,2050,false,2.36,4.72,0.0
69,HU_OCGT,2050,false,0.154,0.308,2.0
70,HU_Solar,2050,false,23.396,46.792,0.7303976902607487
71,HU_Wind_Onshore,2050,false,3.0,6.0,2.0
72,IE_Gas,2050,false,7.933,15.866,0.14935248532777065
73,IE_OCGT,2050,false,0.116,0.232,2.0
74,IE_Solar,2050,false,12.113,24.226,0.0
75,IE_Wind_Offshore,2050,false,21.057,42.114,0.0
76,IE_Wind_Onshore,2050,false,11.308,22.616,1.8877434823549197
77,IT_Gas,2050,false,41.91,83.82,0.0
78,IT_OCGT,2050,false,4.32,8.64,0.0
79,IT_Solar,2050,false,236.134,472.268,1.2581727668349434
80,IT_Wind_Offshore,2050,false,18.5,37.0,0.0
81,IT_Wind_Onshore,2050,false,38.21,76.42,0.31179787590387636
82,LT_Gas,2050,false,0.293,0.586,2.0
83,LT_Solar,2050,false,7.576,15.152,0.0
84,LT_Wind_Offshore,2050,false,7.6,15.2,0.0
85,LT_Wind_Onshore,2050,false,5.65,11.3,1.4884732074254532
86,LU_Solar,2050,false,2.19,4.38,0.4749460450149227
87,LU_Wind_Onshore,2050,false,0.6,1.2,2.0
88,LV_Gas,2050,false,0.073,0.146,2.0
89,LV_Solar,2050,false,0.605,1.21,1.9516752094169294
90,LV_Wind_Offshore,2050,false,7.5,15.0,0.0
91,LV_Wind_Onshore,2050,false,0.352,0.704,1.4364764339382636
92,MT_Gas,2050,false,0.45,0.9,0.6135135475267836
93,MT_Solar,2050,false,0.374,0.748,2.0
94,NL_Gas,2050,false,15.25,30.5,1.0895750374262965
95,NL_OCGT,2050,false,0.0,0.0,0.0
96,NL_Solar,2050,false,99.984,199.968,0.543085001917269
97,NL_Wind_Offshore,2050,false,49.653,99.306,0.23289620290175198
98,NL_Wind_Onshore,2050,false,20.0,40.0,2.0
99,NO_Solar,2050,false,11.94,23.88,0.0
100,NO_Wind_Offshore,2050,false,9.947,19.894,1.2254776110631016
101,NO_Wind_Onshore,2050,false,6.924,13.848,2.0
102,OBZLL_Wind_Offshore,2050,false,2.0,4.0,0.0
103,PL_Coal,2050,false,2.496,4.992,0.0
104,PL_Gas,2050,false,8.223,16.446,1.6964172645568878
105,PL_Solar,2050,false,54.303,108.606,0.8217183752907561
106,PL_Wind_Offshore,2050,false,10.9,21.8,0.0
107,PL_Wind_Onshore,2050,false,62.0,124.0,1.2223337935439238
108,PT_Gas,2050,false,0.0,0.0,0.0
109,PT_Solar,2050,false,29.0,58.0,1.1980323178333978
110,PT_Wind_Offshore,2050,false,9.978,19.956,0.0013213069905315717
111,PT_Wind_Onshore,2050,false,13.0,26.0,1.2333514086378805
112,RO_Coal,2050,false,0.0,0.0,0.0
113,RO_Gas,2050,false,5.84,11.68,0.1922519872730048
114,RO_Nuclear,2050,false,3.087,6.174,0.0
115,RO_OCGT,2050,false,0.167,0.334,2.0
116,RO_Solar,2050,false,34.194,68.388,1.158562355102957
117,RO_Wind_Offshore,2050,false,1.0,2.0,0.0
118,RO_Wind_Onshore,2050,false,9.0,18.0,2.0
119,SE_Gas,2050,false,0.0,0.0,0.0
120,SE_Nuclear,2050,false,11.6,23.2,0.0
121,SE_OCGT,2050,false,0.097,0.194,2.0
122,SE_Solar,2050,false,46.5,93.0,1.0828500240534917
123,SE_Wind_Offshore,2050,false,14.6,29.2,0.0
124,SE_Wind_Onshore,2050,false,49.1,98.2,1.3189122307939636
125,SI_Coal,2050,false,0.575,1.15,0.0
126,SI_Gas,2050,false,2.282,4.564,0.29587447112374493
127,SI_Nuclear,2050,false,1.1,2.2,0.0
128,SI_OCGT,2050,false,1.126,2.252,2.0
129,SI_Solar,2050,false,35.948,71.896,0.1741896529781883
130,SI_Wind_Offshore,2050,false,3.2,6.4,0.0
131,SI_Wind_Onshore,2050,false,7.554,15.108,0.4732347160868374
132,SK_Coal,2050,false,0.251,0.502,0.0
133,SK_Gas,2050,false,1.341,2.682,0.13945621536883013
134,SK_Nuclear,2050,false,3.096,6.192,0.0
135,SK_Solar,2050,false,5.0,10.0,2.0
136,SK_Wind_Onshore,2050,false,2.0,4.0,2.0
137,UK_Gas,2050,false,9.505,19.01,2.0
138,UK_Nuclear,2050,false,16.0,32.0,0.0
139,UK_OCGT,2050,false,1.243,2.486,2.0
140,UK_Solar,2050,false,63.715,127.43,1.0770925201517751
141,UK_Wind_Offshore,2050,false,110.458,220.916,0.6133188955254189
142,UK_Wind_Onshore,2050,false,53.918,107.836,2.0
